keyword, link
Access A Doctor, https://www.imperial.ac.uk/student-support-zone/your-health/doctor-and-dentist/
Imperial Health Centre,https://www.imperialcollegehealthcentre.co.uk/
Health Centre New Patients, https://www.imperialcollegehealthcentre.co.uk/new-patients/
Health Centre Appointments, https://www.imperialcollegehealthcentre.co.uk/appointment/guidance/
NHS Emergency Care, https://www.imperial.nhs.uk/our-services/emergency-care
Imperial Emergency Contacts, https://www.imperial.ac.uk/occupational-health/emergency/
